FeatureID,FeatureName,Cluster 6 Average,Log2 Fold Change,P-Value
ENSG00000185551,NR2F2,0.16347751304653743,2.558260220754856,4.6724756110234794e-07
ENSG00000006283,CACNA1G,0.070519712,3.085148343497912,4.697758240993455e-07
ENSG00000091831,ESR1,0.13943670230439958,2.644419712145911,5.001449933752754e-07
ENSG00000084636,COL16A1,0.6074311514180165,2.3508711210097295,5.157067621303222e-07
ENSG00000152582,SPEF2,0.075327874,2.9319466996467263,5.291305739954806e-07
ENSG00000165072,MAMDC2,0.035259856,4.086483554181732,5.40712487469493e-07
ENSG00000064309,CDON,0.038465297187420575,3.487959540443496,5.40712487469493e-07
ENSG00000108797,CNTNAP1,0.043273459,3.463385924573804,5.468428035923099e-07
ENSG00000165092,ALDH1A1,0.048081621484275715,3.3878348915666265,7.077608569422062e-07
ENSG00000132122,SPATA6,0.049684342,3.1255162858174206,7.230744409042139e-07
ENSG00000142173,COL6A2,1.303011942223872,2.2805218674239938,7.258998855481043e-07
ENSG00000162878,PKDCC,0.20675097238238557,2.4907718123688833,7.850557632653036e-07
ENSG00000139220,PPFIA2,0.030451693606707953,3.662457271675634,7.850557632653036e-07
ENSG00000254122,PCDHGB7,0.065711549,2.9181497021682588,9.319114879288086e-07
ENSG00000130222,GADD45G,0.11379317084611919,2.813983362292437,9.319114879288086e-07
ENSG00000133121,STARD13,0.11539589156226172,2.6234631400597688,9.319114879288086e-07
ENSG00000266964,FXYD1,0.035259856,3.7645554592943684,9.459377308258927e-07
ENSG00000198598,MMP17,0.084944198,2.8366824105515707,1.167145514780236e-06
ENSG00000149633,KIAA1755,0.086546919,2.7004251218746536,1.167145514780236e-06
ENSG00000112320,SOBP,0.043273459,3.2003515187400096,1.3321329737715576e-06
ENSG00000004776,HSPB6,0.048081621484275715,3.1832171719581552,1.4600184989746907e-06
ENSG00000108387,SEPTIN4,0.028848973,3.9039585159597845,1.54948949205223e-06
ENSG00000142494,SLC47A1,0.12501221585911687,2.6443099249653734,1.7888072205136722e-06
ENSG00000172403,SYNPO2,0.083341477,2.736253201010281,1.9349375230095945e-06
ENSG00000164619,BMPER,0.046478901,3.368274167271175,1.9349375230095945e-06
ENSG00000178662,CSRNP3,0.025643531458280383,4.106063923151248,1.9535844134026065e-06
ENSG00000166402,TUB,0.049684342,3.193687788458999,2.3032835187483496e-06
ENSG00000151067,CACNA1C,0.043273459,3.2003515187400096,2.3032835187483496e-06
ENSG00000105472,CLEC11A,0.13623126087211454,2.508059663,2.331678373910915e-06
ENSG00000158458,NRG2,0.064108829,3.0542249916316297,2.3905780373782543e-06
ENSG00000187098,MITF,0.070519712,2.819558232760362,2.4149216957170972e-06
ENSG00000112902,SEMA5A,0.072122432,2.6884524802085776,2.4149216957170972e-06
ENSG00000204950,LRRC10B,0.024040810742137857,3.8999565854022897,2.6046495966439262e-06
ENSG00000163431,LMOD1,0.075327874,2.9190654083499936,2.9150788950463073e-06
ENSG00000072195,SPEG,0.088149639,2.697851178210827,3.0367214050966817e-06
ENSG00000106823,ECM2,0.035259856,3.2451813,3.0367214050966817e-06
ENSG00000049540,ELN,0.21636729667924073,2.411979700049979,3.0615018878202476e-06
ENSG00000108684,ASIC2,0.024040810742137857,4.193687788,3.268105376313857e-06
ENSG00000164039,BDH2,0.10257412583312153,2.5482000924179533,3.419599984051446e-06
ENSG00000050555,LAMC3,0.073725153,2.7309293965727406,3.947307900737718e-06
ENSG00000165959,CLMN,0.075327874,2.6721506678794773,4.659695290629422e-06
ENSG00000204681,GABBR1,0.17629927877567764,2.329431468,4.814481984060134e-06
ENSG00000206052,DOK6,0.025643531458280383,3.809082185394117,5.296467111797401e-06
ENSG00000110237,ARHGEF17,0.16347751304653743,2.370860252757913,5.336492605723051e-06
ENSG00000174807,CD248,0.11539589156226172,2.533577636542574,5.555978576730861e-06
ENSG00000151229,SLC2A13,0.11860133299454677,2.478857333336244,5.555978576730861e-06
ENSG00000198121,LPAR1,0.094560522,2.5156158833463618,5.644510707280106e-06
ENSG00000119699,TGFB3,0.11860133299454677,2.466809705571714,5.682441629598577e-06
ENSG00000128849,CGNL1,0.070519712,2.800533407078605,5.682441629598577e-06
